уi,ax,ay,bx,by,err_px
493,591.922,1348.213,591.861,1348.059,0.1660
494,652.782,1347.106,652.832,1347.008,0.1101
495,714.913,1346.312,714.840,1346.116,0.2085
496,775.403,1345.606,775.428,1345.491,0.1175
497,837.315,1345.117,837.270,1345.054,0.0779
498,898.155,1344.908,898.209,1344.688,0.2266
499,959.569,1344.727,959.546,1344.639,0.0908
500,1020.592,1344.841,1020.688,1344.770,0.1200
501,1082.242,1345.154,1082.209,1344.980,0.1769
502,1142.897,1345.594,1142.953,1345.534,0.0821
503,1204.874,1346.305,1204.869,1346.245,0.0603
504,1265.517,1347.129,1265.540,1346.986,0.1445
505,1327.774,1348.171,1327.698,1348.128,0.0873
506,1388.684,1349.312,1388.753,1349.335,0.0728
507,1451.680,1350.862,1451.218,1350.795,0.4662
508,1512.690,1352.430,1512.760,1352.484,0.0884
509,1575.622,1354.268,1575.644,1354.309,0.0459
510,1637.605,1356.185,1637.646,1356.193,0.0415
511,1700.582,1358.453,1700.614,1358.497,0.0537
512,1763.505,1360.727,1763.447,1360.674,0.0781
